table;code;text;level;year;order;valid
atc;R05CA;Expectorants;5;2015;981;1
atc;R05CB;Mucolytics;5;2015;982;0
atc;R05D;Cough suppressants;4;2015;983;1
atc;R05DA;Opium alkaloids and derivatives;5;2015;984;1
atc;R05DB;Other cough suppressants;5;2015;985;0
atc;R05F;Cough suppressants and expectorants;4;2015;986;1
atc;R05FA;Opium derivatives and expectorants;5;2015;987;1
atc;R05FB;Other cough suppressants and expectorants;5;2015;988;0
atc;R06A;Antihistamines for systemic use;4;2015;989;1
atc;R06AA;Aminoalkyl ethers;5;2015;990;1
atc;R06AB;Substituted alkylamines;5;2015;991;1
atc;R06AC;Substituted ethylene diamines;5;2015;992;1
atc;R06AD;Phenothiazine derivatives;5;2015;993;1
atc;R06AE;Piperazine derivatives;5;2015;994;1
atc;R06AX;Other antihistamines for systemic use;5;2015;995;0
atc;R07A;Other respiratory system products;4;2015;996;1
atc;R07AA;Lung surfactants;5;2015;997;1
atc;R07AB;Respiratory stimulants;5;2015;998;1
atc;R07AX;Other respiratory system products;5;2015;999;0
atc;S;Sensory organs;1;2015;1000;0
atc;S01;Ophthalmological drugs;3;2015;1001;0
atc;S01A;Eye Anti-infectives;4;2015;1002;1
atc;S01AA;Eye Antibiotics;5;2015;1003;1
atc;S01AB;Eye Sulfonamides;5;2015;1004;1
atc;S01AD;Eye Antivirals;5;2015;1005;1
atc;S01AE;Eye Fluoroquinolones;5;2015;1006;1
atc;S01AX;Other Eye anti-infectives;5;2015;1007;0
atc;S01B;Anti-inflammatory agents;4;2015;1008;1
atc;S01BA;Corticosteroids;5;2015;1009;1
atc;S01BB;Corticosteroids and mydriatics in combination;5;2015;1010;1
atc;S01BC;Anti-inflammatory agents;5;2015;1011;0
atc;S01C;Anti-inflammatory agents and anti-infectives in combination;4;2015;1012;1
atc;S01CA;Corticosteroids and anti-infectives in combination;5;2015;1013;1
atc;S01CB;Corticosteroids / anti-infectives / mydriatics in combination;5;2015;1014;1
atc;S01CC;Anti-inflammatory agents;5;2015;1015;0
atc;S01E;Antiglaucoma preparations and miotics;4;2015;1016;1
atc;S01EA;Sympathomimetics in glaucoma therapy;5;2015;1017;1
atc;S01EB;Parasympathomimetics;5;2015;1018;1
atc;S01EC;Carbonic anhydrase inhibitors;5;2015;1019;1
atc;S01ED;Beta blocking agents;5;2015;1020;1
atc;S01EE;Prostaglandin analogues;5;2015;1021;1
atc;S01EX;Other antiglaucoma preparations;5;2015;1022;0
atc;S01F;Mydriatics and cycloplegics;4;2015;1023;1
atc;S01FA;Anticholinergics;5;2015;1024;1
atc;S01FB;Sympathomimetics excluding antiglaucoma preparations;5;2015;1025;0
atc;S01G;Decongestants and antiallergics;4;2015;1026;1
atc;S01GA;Sympathomimetics used as decongestants;5;2015;1027;1
atc;S01GX;Other antiallergics;5;2015;1028;1
atc;S01HA;Local anesthetics;5;2015;1029;0
atc;S01J;Diagnostic agents;4;2015;1030;1
atc;S01JA;Colouring agents;5;2015;1031;0
atc;S01K;Surgical aids;4;2015;1032;1
atc;S01KA;Viscoelastic substances;5;2015;1033;1
atc;S01KX;Other surgical aids;5;2015;1034;0
atc;S01L;Ocular vascular disorder agents;4;2015;1035;1
atc;S01LA;Antineovascularisation agents;5;2015;1036;1
atc;S01XA;Other ophthalmologicals;5;2015;1037;0
atc;S02;Otologicals;3;2015;1038;1
atc;S02AA;Anti-infectives;5;2015;1039;1
atc;S02BA;Corticosteroids;5;2015;1040;1
atc;S02CA;Corticosteroids and anti-infectives in combination;5;2015;1041;0
atc;S02D;Other otologicals;4;2015;1042;1
atc;S02DA;Analgesics and anesthetics;5;2015;1043;0
atc;S03;Ophthalmological and otological preparations;3;2015;1044;1
atc;S03AA;Anti-infectives;5;2015;1045;1
atc;S03BA;Corticosteroids;5;2015;1046;1
atc;S03CA;Corticosteroids and anti-infectives in combination;5;2015;1047;0
atc;V;Various ATC structures;1;2015;1048;1
atc;V01AA;Allergen extracts;5;2015;1049;0
atc;V03A;All other therapeutic products;4;2015;1050;1
atc;V03AB;Antidotes;5;2015;1051;1
atc;V03AC;Iron chelating agents;5;2015;1052;1
atc;V03AE;Drugs for treatment of hyperkalemia and hyperphosphatemia;5;2015;1053;1
atc;V03AF;Detoxifying agents for antineoplastic treatment;5;2015;1054;1
atc;V03AG;Drugs for treatment of hypercalcemia;5;2015;1055;1
atc;V03AH;Drugs for treatment of hypoglycaemia;5;2015;1056;1
atc;V03AK;Tissue adhesives;5;2015;1057;1
atc;V03AM;Drugs for embolisation;5;2015;1058;1
atc;V03AN;Medical gases;5;2015;1059;1
atc;V03AX;Other therapeutic products;5;2015;1060;1
atc;V03AZ;Nerve depressants;5;2015;1061;0
atc;V04;Diagnostic agents;3;2015;1062;0
atc;V04B;Urine tests;4;2015;1063;0
atc;V04C;Other diagnostic agents;4;2015;1064;1
atc;V04CA;Tests for diabetes;5;2015;1065;1
atc;V04CB;Tests for fat absorption;5;2015;1066;1
atc;V04CC;Tests for bile duct patency;5;2015;1067;1
atc;V04CD;Tests for pituitary function;5;2015;1068;1
atc;V04CE;Tests for liver functional capacity;5;2015;1069;1
atc;V04CF;Tuberculosis diagnostics;5;2015;1070;1
atc;V04CG;Tests for gastric secretion;5;2015;1071;1
atc;V04CH;Tests for renal function and ureteral injuries;5;2015;1072;1
atc;V04CJ;Tests for thyreoidea function;5;2015;1073;1
atc;V04CK;Tests for pancreatic function;5;2015;1074;1
atc;V04CL;Tests for allergic diseases;5;2015;1075;1
atc;V04CM;Tests for fertility disturbances;5;2015;1076;0
atc;V06;General nutrients;3;2015;1077;0
atc;V06A;Diet formulations for treatment of obesity;4;2015;1078;0
atc;V06B;Protein supplements;4;2015;1079;0
atc;V06C;Infant formulas;4;2015;1080;0
atc;V06D;Other nutrients;4;2015;1081;1
atc;V06DC;Carbohydrates;5;2015;1082;0
atc;V07;All other non-therapeutic products;3;2015;1083;0
atc;V08;Contrast media;3;2015;1084;0
atc;V08A;X-ray contrast media;4;2015;1085;1
atc;V08AA;Water-soluble high osmolar X-ray contrast media;5;2015;1086;1
atc;V08AB;Water-soluble low osmolar X-ray contrast media;5;2015;1087;1
atc;V08AC;Water-soluble;5;2015;1088;1
atc;V08AD;Non-watersoluble X-ray contrast media;5;2015;1089;0
atc;V08B;X-ray contrast media;4;2015;1090;1
atc;V08BA;Barium sulfate containing X-ray contrast media;5;2015;1091;0
atc;V08C;Magnetic resonance imaging contrast media;4;2015;1092;1
atc;V08CA;Paramagnetic contrast media;5;2015;1093;1
atc;V08CB;Superparamagnetic contrast media;5;2015;1094;1
atc;V08CX;Other magnetic resonance imaging contrast media;5;2015;1095;1
atc;V08DA;Ultrasound contrast media;5;2015;1096;0
atc;V09;Diagnostic radiopharmaceuticals;3;2015;1097;0
atc;V09A;Central nervous system;4;2015;1098;1
atc;V09AA;Technetium (99mTc) compounds;5;2015;1099;1
atc;V09AB;Iodine (123I) compounds;5;2015;1100;1
atc;V09AX;Other central nervous system diagnostic radiopharmaceuticals;5;2015;1101;0
atc;V09B;Skeleton;4;2015;1102;1
atc;V09BA;Technetium (99mTc) compounds;5;2015;1103;0
atc;V09C;Renal system;4;2015;1104;1
atc;V09CA;Technetium (99mTc) compounds;5;2015;1105;1
atc;V09CX;Other renal system diagnostic radiopharmaceuticals;5;2015;1106;0
atc;V09D;Hepatic and reticulo endothelial system;4;2015;1107;1
atc;V09DA;Technetium (99mTc) compounds;5;2015;1108;1
atc;V09DB;Technetium (99mTc);5;2015;1109;1
atc;V09DX;Other hepatic and reticulo endothelial system diagnostic radiopharmaceuticals;5;2015;1110;0
atc;V09E;Respiratory system;4;2015;1111;1
atc;V09EA;Technetium (99mTc) inhalants;5;2015;1112;1
atc;V09EB;Technetium (99mTc) particles for injection;5;2015;1113;1
atc;V09EX;Other respiratory system diagnostic radiopharmaceuticals;5;2015;1114;0
atc;V09F;Thyroid;4;2015;1115;1
atc;V09FX;Various thyroid diagnostic radiopharmaceuticals;5;2015;1116;0
atc;V09G;Cardiovascular system;4;2015;1117;1
atc;V09GA;Technetium (99mTc) compounds;5;2015;1118;1
atc;V09GB;Iodine (125I) compounds;5;2015;1119;1
atc;V09GX;Other cardiovascular system diagnostic radiopharmaceuticals;5;2015;1120;0
atc;V09H;Inflammation and infection detection;4;2015;1121;1
atc;V09HA;Technetium (99mTc) compounds;5;2015;1122;1
atc;V09HB;Indium (111In) compounds;5;2015;1123;1
atc;V09HX;Other diagnostic radiopharmaceuticals for inflammation and infection detection;5;2015;1124;0
atc;V09I;Tumour detection;4;2015;1125;1
atc;V09IA;Technetium (99mTc) compounds;5;2015;1126;1
atc;V09IB;Indium (111In) compounds;5;2015;1127;1
atc;V09IX;Other diagnostic radiopharmaceuticals for tumour detection;5;2015;1128;0
atc;V09X;Other diagnostic radiopharmaceuticals;4;2015;1129;1
atc;V09XA;Iodine (131I) compounds;5;2015;1130;1
atc;V09XX;Various diagnostic radiopharmaceuticals;5;2015;1131;0
atc;V10;Therapeutic radiopharmaceuticals;3;2015;1132;0
atc;V10A;Anti-inflammatory agents;4;2015;1133;1
atc;V10AA;Yttrium (90Y) compounds;5;2015;1134;1
atc;V10AX;Other anti-inflammatory therapeutic radiopharmaceuticals;5;2015;1135;0
atc;V10B;Pain palliation (bone seeking agents);4;2015;1136;1
atc;V10BX;Various pain palliation radiopharmaceuticals;5;2015;1137;0
atc;V10X;Other therapeutic radiopharmaceuticals;4;2015;1138;1
atc;V10XA;Iodine (131I) compounds;5;2015;1139;1
atc;V10XX;Various therapeutic radiopharmaceuticals;5;2015;1140;0
atc;V20;Surgical dressings;3;2015;1141;0
